time[s],Xcg[m],Xcp[m]
0.574,1.9419,2.0529
0.575,1.9418,2.053
0.576,1.9418,2.0532
0.577,1.9418,2.0534
0.578,1.9417,2.0536
0.579,1.9417,2.0537
0.58,1.9417,2.0539
0.581,1.9416,2.0541
0.582,1.9416,2.0543
0.583,1.9416,2.0545
0.584,1.9415,2.0548
0.585,1.9415,2.055
0.586,1.9415,2.0553
0.587,1.9414,2.0555
0.588,1.9414,2.0558
0.589,1.9414,2.056
0.59,1.9413,2.0563
0.591,1.9413,2.0565
0.592,1.9413,2.0567
0.593,1.9412,2.057
0.594,1.9412,2.0572
0.595,1.9412,2.0575
0.596,1.9411,2.0577
0.597,1.9411,2.058
0.598,1.941,2.0582
0.599,1.941,2.0585
0.6,1.941,2.0587
0.601,1.9409,2.059
0.602,1.9409,2.0592
0.603,1.9409,2.0595
0.604,1.9408,2.0597
0.605,1.9408,2.0599
0.606,1.9408,2.0602
0.607,1.9407,2.0604
0.608,1.9407,2.0607
0.609,1.9407,2.0609
0.61,1.9406,2.0612
0.611,1.9406,2.0614
0.612,1.9405,2.0617
0.613,1.9405,2.0619
0.614,1.9405,2.0622
0.615,1.9404,2.0624
0.616,1.9404,2.0626
0.617,1.9404,2.0629
0.618,1.9403,2.0631
0.619,1.9403,2.0634
0.62,1.9403,2.0636
0.621,1.9402,2.0639
0.622,1.9402,2.0641
0.623,1.9401,2.0644
0.624,1.9401,2.0646
0.625,1.9401,2.0649
0.626,1.94,2.0651
0.627,1.94,2.0654
0.628,1.94,2.0656
0.629,1.9399,2.0658
0.63,1.9399,2.0661
0.631,1.9399,2.0663
0.632,1.9398,2.0665
0.633,1.9398,2.0667
0.634,1.9397,2.0669
0.635,1.9397,2.0671
0.636,1.9397,2.0673
0.637,1.9396,2.0674
0.638,1.9396,2.0676
0.639,1.9396,2.0678
0.64,1.9395,2.068
0.641,1.9395,2.0682
0.642,1.9394,2.0684
0.643,1.9394,2.0685
0.644,1.9394,2.0687
0.645,1.9393,2.0689
0.646,1.9393,2.0691
0.647,1.9393,2.0693
0.648,1.9392,2.0694
0.649,1.9392,2.0696
0.65,1.9392,2.0698
0.651,1.9391,2.07
0.652,1.9391,2.0702
0.653,1.939,2.0704
0.654,1.939,2.0705
0.655,1.939,2.0707
0.656,1.9389,2.0709
0.657,1.9389,2.0711
