Run ID,At [m^2],Dfg_Outer [m],Dfg_Inner [m],Lfg [m],ISP [s^-1],Delta-V [m/s],Apogee [m],O/F Ratio Max
1505,0.0015,0.153,0.08,0.5,243.96,322.91,6107.2,3.6086
1506,0.0015,0.153,0.08,0.6,237.47,327.85,6283.1,3.0071
1513,0.0015,0.155,0.04,0.5,243.22,419.1,10252,3.3688
1521,0.0015,0.155,0.045,0.5,243.33,412.43,9930.7,3.3873
1529,0.0015,0.155,0.05,0.5,243.44,404.65,9562.5,3.4268
1537,0.0015,0.155,0.055,0.5,243.55,395.86,9154.3,3.4629
1545,0.0015,0.155,0.06,0.5,243.64,385.99,8706.6,3.4962
1553,0.0015,0.155,0.065,0.5,243.73,374.98,8220.4,3.5271
1561,0.0015,0.155,0.07,0.5,243.82,362.86,7700.8,3.556
1569,0.0015,0.155,0.075,0.5,243.9,349.7,7156,3.583
1577,0.0015,0.155,0.08,0.5,243.97,335.46,6588.4,3.6086
1578,0.0015,0.155,0.08,0.6,237.5,340.53,6776.1,3.0071
1585,0.002,0.135,0.04,0.5,236.06,300.23,5265.6,3.4004
1593,0.002,0.135,0.045,0.5,236.16,293.58,5036.2,3.4081
1601,0.002,0.135,0.05,0.5,236.27,285.91,4778.2,3.4268
1609,0.002,0.135,0.055,0.5,236.36,277.18,4492.4,3.4629
1617,0.002,0.135,0.06,0.5,236.44,267.46,4184.7,3.4962
1625,0.002,0.135,0.065,0.5,236.52,256.64,3854.4,3.5271
1633,0.002,0.135,0.07,0.5,236.59,244.79,3508.3,3.556
1641,0.002,0.135,0.075,0.5,236.65,231.92,3150.9,3.583
1649,0.002,0.135,0.08,0.5,236.7,218,2785.4,3.6086
1650,0.002,0.135,0.08,0.6,231.16,222.34,2890.1,3.0071
1657,0.002,0.137,0.04,0.5,236.08,310.86,5643.5,3.405
1665,0.002,0.137,0.045,0.5,236.18,304.18,5405.1,3.4126
1673,0.002,0.137,0.05,0.5,236.28,296.49,5136.7,3.4268
1681,0.002,0.137,0.055,0.5,236.37,287.8,4841.5,3.4629
1689,0.002,0.137,0.06,0.5,236.46,278.04,4520.6,3.4962
1697,0.002,0.137,0.065,0.5,236.53,267.24,4178.1,3.5271
1705,0.002,0.137,0.07,0.5,236.6,255.41,3818.2,3.556
1713,0.002,0.137,0.075,0.5,236.66,242.5,3443.6,3.583
1721,0.002,0.137,0.08,0.5,236.71,228.52,3059.8,3.6086
1722,0.002,0.137,0.08,0.6,231.19,233.04,3173.9,3.0071
1729,0.002,0.139,0.04,0.5,236.1,321.67,6040.8,3.4097
1737,0.002,0.139,0.045,0.5,236.2,315.04,5795.7,3.4171
1745,0.002,0.139,0.05,0.5,236.3,307.38,5519.2,3.4268
1753,0.002,0.139,0.055,0.5,236.39,298.65,5212,3.4629
1761,0.002,0.139,0.06,0.5,236.47,288.86,4877.6,3.4962
1769,0.002,0.139,0.065,0.5,236.54,278.02,4520.3,3.5271
1777,0.002,0.139,0.07,0.5,236.61,266.14,4144.3,3.556
1785,0.002,0.139,0.075,0.5,236.67,253.25,3754.3,3.583
1793,0.002,0.139,0.08,0.5,236.72,239.28,3353.5,3.6086
1794,0.002,0.139,0.08,0.6,231.22,243.98,3477.7,3.0071
